row,z01,z02,z03,z04,z05,z06,z07,z08
28,0.10330586576325111,-0.02081434789757433,0.23956812067345265,0.1584965644805168,0.059502568895254515,0.37952260946185695,0.06578948115172809,0.07817582044363437
29,-0.021290138138196676,-0.04834269192604634,0.14727600964511844,0.12340895014526587,-0.02284617625811397,0.3469790402682573,0.1056381098148683,0.15698371097444833
30,-0.11384940552255143,-0.08129726428212715,0.06591244394379175,0.04504690789574371,-0.0700150002103608,0.233803874896035,0.12208906362981453,0.2335294647120977
31,-0.16215188309565748,-0.1105031614546176,0.017980756413901816,-0.040651894012977904,-0.05809706198621224,0.09390206659163937,0.12154528610442725,0.2858530073121449
32,-0.16995020868143818,-0.12742450733028773,0.005029296723596789,-0.10401207210885284,0.002775782691667769,-0.031775806470820234,0.1151421202556141,0.303229717859579
33,-0.14869639651815322,-0.128369986013279,0.017349720143053835,-0.13061068911654897,0.0863221715634262,-0.12005330207042844,0.11486723633123962,0.282702002342576
34,-0.11238153150853464,-0.11232200938307205,0.03909366905562459,-0.1204883964391862,0.16793036399276062,-0.17225026728784298,0.12417690538937362,0.23021671176630237
35,-0.0724190166908169,-0.08207433856509166,0.05789922346056514,-0.08370393516090349,0.22920195991991776,-0.1987018751891735,0.139833260160371,0.1565544484676034
36,-0.035464912238168486,-0.04146792358746881,0.06894220604624204,-0.030322664960393226,0.25982116256879817,-0.20571323532223318,0.15832923567571738,0.06993688782559127
37,-0.005114366486325662,0.004085362534269971,0.07004294065497316,0.0295411615946102,0.25406478257945886,-0.19885206118636106,0.17775303117944294,-0.017209553140790413
38,0.01752584926906671,0.04950831029895931,0.06075205166497929,0.0885737147526203,0.21189039090728307,-0.18195295601031786,0.19778167048351628,-0.09480721528273874
39,0.03289159686444474,0.0909463949122,0.04175588192544589,0.1422981434128444,0.13908375959805805,-0.15881756657195184,0.21688580562233095,-0.15187524083882045
40,0.042531286101752025,0.12589675449753435,0.015126236469010755,0.1872994718079754,0.04587209214382178,-0.13184121616110436,0.22904649728875368,-0.1755680110562514
41,0.04813474632702868,0.15345983045784173,-0.016045355071779947,0.21912839571218878,-0.051108635455911836,-0.10486333724033213,0.2221357860246093,-0.15345843497204695
42,0.050801105169335475,0.17397332631644996,-0.04788571268713431,0.23395386647160202,-0.13179898689503716,-0.0810311326266249,0.18649986756469614,-0.08362552176478194
43,0.05099785278986518,0.18755975241143424,-0.07673669892667223,0.2306682540314573,-0.1807588773266784,-0.06134322520482774,0.12425867473592452,0.017675438723090037
44,0.0490166859886125,0.19512003266067582,-0.10054887572857968,0.20907201824272484,-0.18919313319560527,-0.04675954594503656,0.044777104032112144,0.1249777451563001
45,0.044782820450200975,0.19831896953798117,-0.11810630480320014,0.17112885350295967,-0.1558339808163713,-0.03607463122801603,-0.03946213132069711,0.2118411794952829
46,0.03758059599476229,0.19899913839565378,-0.12916709350883088,0.12155018264011112,-0.08970234066365151,-0.026429556910920648,-0.11454849207211329,0.25784587989372
47,0.02696101465607436,0.1981401859621014,-0.1338604850364471,0.0660959342704942,-0.007884031750060395,-0.015165097650896792,-0.16867211954231198,0.2541836770458359
48,0.013296548116919316,0.1961344127014927,-0.1321956016037134,0.01100246387070231,0.07138220342004309,-0.00071566809910803,-0.19574630328221085,0.20614614848532323
49,-0.0027849282023123274,0.1931694507855079,-0.1247080682235607,-0.03892470540505767,0.13435792618911369,0.0172263326190096,-0.19655359654025187,0.12978877389885
50,-0.020429640818999062,0.18908765431136754,-0.11216078874707341,-0.08105799428709766,0.17274746986525852,0.03716009325873133,-0.17682595808685717,0.044702403261713
51,-0.038455762173553606,0.18342389480381277,-0.09526645168510722,-0.1145175756361869,0.1847413032552807,0.05729233801339589,-0.14474684187062706,-0.03279347817376322
52,-0.05567107844016787,0.17578766787926975,-0.07465592369049816,-0.13899405755965033,0.17304262527513492,0.07563370235146284,-0.10661972629689848,-0.09288941018200765
53,-0.07122240835159704,0.16601284753089607,-0.05100319083145874,-0.15483829699164964,0.14307275366641195,0.09026712505846202,-0.06670089143774927,-0.13212535306054538
54,-0.08455124564067737,0.15443672705649902,-0.025270190594671393,-0.16312135461018884,0.10150136742681977,0.09983300247974503,-0.030019656206440905,-0.15178227013521006
55,-0.09532506199359511,0.1414180414354207,0.0012529201861744763,-0.16509578383040596,0.05461108300365396,0.10307934584176301,0.0004839450931067128,-0.1555752730683998
56,-0.10352173674067275,0.12718869908687208,0.027427240307745716,-0.16194360617241427,0.007270960643664666,0.09979786372755767,0.023562196541142177,-0.14796383176685707
57,-0.10927286218230348,0.11192174238176693,0.052212765236934515,-0.15451893046908557,-0.037087492636459524,0.09033278729002149,0.03940083499200005,-0.13294954155225697
58,-0.11281512903842376,0.0957407339978089,0.07484115104456619,-0.14354393246538277,-0.07631144803965582,0.07582599619905905,0.04932600794743832,-0.11392333075288269
59,-0.11459094578700185,0.07888284051066513,0.09477369277702481,-0.12962484952739117,-0.10913205289755912,0.05708143640005418,0.053791688388517084,-0.09347091756165118
60,-0.11486115935906327,0.061616421831265006,0.11134706469571248,-0.1131901897411994,-0.13510884517824717,0.03495453386113286,0.05215218060274856,-0.07379117682080374
61,-0.11395946594273261,0.04402991446765587,0.1243125134521799,-0.0942889796993579,-0.15415874480084038,0.010062812766233449,0.04378781231959585,-0.05678060168800763
62,-0.11210187594189026,0.02613290442861054,0.13339927097886764,-0.07315886652585427,-0.1665925379154474,-0.01710555902867824,0.027932656459870517,-0.04371386136541881
63,-0.10943212673636313,0.008066240468733239,0.13845766938988754,-0.05015831806025477,-0.17234942355395869,-0.04554223515171337,0.004982960541985285,-0.03507001817087504
64,-0.10625660373271663,-0.009868596469296533,0.13962297401237977,-0.02618142859776889,-0.17153301789391517,-0.07348330079944225,-0.023474208228392912,-0.030368159575323565
